abbc	Main model	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
abbc	Relabel model	0 2 2 0 2 0 0 0 0 2 0 2 0 0 2 0 0 2 0 0 0 0 0 0 0 0 0 2 0 2 2 2 2 0 2 0 2 0 0 0
abbc	Gold	1 0 2 0 0 0 2 2 0 1 2 2 2 1 0 1 0 1 0 0 1 2 0 0 0 2 0 0 2 1 0 1 1 0 0 1 1 0 2 2
afck	Main model	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
afck	Relabel model	1 5 1 5 1 1 1 1 1 5 5 5 5 5 5 1 1 5 1 1 0 5 1 1 5 1 1 5 1 5 1 5
afck	Gold	0 2 0 6 3 2 5 2 0 0 2 0 0 2 6 4 2 2 2 0 2 6 0 6 2 2 0 2 2 6 0 0
bove	Main model	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
bove	Relabel model	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
bove	Gold	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
chct	Main model	2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2
chct	Relabel model	1 3 3 1 3 1 3 1 1 1 1 1 3 1 1 3 3 1 3 1 1 1 1 1 1 1 3 3 1 1 1 1
chct	Gold	1 2 1 1 1 2 3 1 0 2 2 2 2 2 2 2 1 2 3 1 3 2 1 2 0 2 2 1 1 2 2 2
clck	Main model	0 0 0 0
clck	Relabel model	1 1 1 1
clck	Gold	0 2 0 2
faan	Main model	2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2
faan	Relabel model	0 1 1 0 0 0 0 1 0 0 1 0 0 0 0 0
faan	Gold	1 2 2 2 0 0 0 2 2 2 0 1 1 0 1 0
faly	Main model	3 3 3 3 3 3 3 3 3 3 3 3 3 3
faly	Relabel model	0 0 4 4 0 4 4 4 0 4 4 4 4 4
faly	Gold	3 2 1 1 3 4 0 0 3 4 1 1 4 4
fani	Main model	2 2 2 2
fani	Relabel model	1 1 1 1
fani	Gold	1 0 0 0
farg	Main model	10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10
farg	Relabel model	7 7 4 8 8 8 7 8 8 8 4 7 4 7 5 7 8 7 8 5 4 4 7 8 8 8 7 7 4 8 5 5 7 7 7 7 4 8 8 8 8 8 7 5 8 8 4 8
farg	Gold	3 3 3 6 1 3 2 3 9 6 3 3 6 3 1 3 3 3 3 3 3 4 3 3 5 3 3 3 3 10 3 3 6 3 3 3 3 3 6 6 9 10 3 3 1 3 3 9
